data_file,algorithm,sample_size,train_test,subject,accuracy,precision,recall,order
amount_1,c5.0,30,testing,1-32,0.86,0.8678571428571427,0.9273809523809523,Random
amount_1,c5.0,30,testing,1-37,0.95,0.9708333333333333,0.9589285714285714,Random
amount_1,c5.0,30,testing,1-38,0.9400000000000001,0.9263888888888889,1,Random
amount_1,c5.0,30,testing,1-40,0.8200000000000001,0.9241666666666667,0.876388888888889,Random
amount_1,c5.0,30,testing,1-41,1,1,1,Random
amount_1,c5.0,30,testing,1-42,0.93,0.9204761904761904,0.96,Random
amount_1,c5.0,30,testing,1-44,0.93,0.9638888888888889,0.9458333333333333,Random
amount_1,c5.0,30,testing,1-45,0.88,0.9121031746031745,0.907142857142857,Random
amount_1,c5.0,30,testing,1-46,0.93,0.9422619047619047,0.9571428571428571,Random
amount_1,c5.0,30,testing,1-47,0.86,0.956388888888889,0.8779761904761905,Random
amount_1,c5.0,30,testing,1-48,0.92,0.925595238095238,0.9523809523809523,Random
amount_1,c5.0,30,testing,1-50,0.87,0.921031746031746,0.9081349206349206,Random
amount_1,c5.0,30,testing,1-51,0.89,0.9583333333333333,0.8855952380952381,Random
amount_1,c5.0,30,testing,1-52,0.9,0.8994444444444444,0.9514285714285714,Random
amount_1,c5.0,30,testing,1-53,1,1,1,Random
amount_1,c5.0,30,testing,1-55,0.9,0.9064285714285714,0.9266666666666666,Random
amount_1,c5.0,30,testing,1-56,0.9,0.9228395061728395,0.9538888888888889,Random
amount_1,c5.0,30,testing,1-58,0.93,1,0.9173809523809524,Random
