subject,session,date,condition,trial_num,ll_side,choice,last_choice
Paprica,6,2018-07-25,High cost,8,left,0,0
Paprica,6,2018-09-26,Low cost different,3,left,0,NA
Paprica,6,2018-09-26,Low cost different,4,right,0,0
Paprica,6,2018-09-26,Low cost different,5,right,0,0
Paprica,6,2018-09-26,Low cost different,6,left,0,0
Paprica,6,2018-09-26,Low cost different,7,left,0,0
Paprica,6,2018-09-26,Low cost different,8,right,0,0
Paprica,7,2018-07-26,High cost,3,left,0,NA
Paprica,7,2018-07-26,High cost,4,left,0,0
Paprica,7,2018-07-26,High cost,5,left,0,0
Paprica,7,2018-07-26,High cost,6,right,0,0
Paprica,7,2018-07-26,High cost,7,right,1,0
Paprica,7,2018-07-26,High cost,8,right,0,1
Paprica,7,2018-09-27,Low cost different,3,right,0,NA
Paprica,7,2018-09-27,Low cost different,4,left,0,0
Paprica,7,2018-09-27,Low cost different,5,right,1,0
Paprica,7,2018-09-27,Low cost different,6,left,0,1
Paprica,7,2018-09-27,Low cost different,7,right,0,0
Paprica,7,2018-09-27,Low cost different,8,left,0,0
Paprica,8,2018-07-27,High cost,3,right,1,NA
Paprica,8,2018-07-27,High cost,4,left,0,1
Paprica,8,2018-07-27,High cost,5,left,0,0
Paprica,8,2018-07-27,High cost,6,right,0,0
Paprica,8,2018-07-27,High cost,7,left,0,0
Paprica,8,2018-07-27,High cost,8,right,0,0
Paprica,9,2018-07-30,High cost,3,right,0,NA
Paprica,9,2018-07-30,High cost,4,left,0,0
Paprica,9,2018-07-30,High cost,5,right,0,0
Paprica,9,2018-07-30,High cost,6,right,1,0
Paprica,9,2018-07-30,High cost,7,left,0,1
Paprica,9,2018-07-30,High cost,8,left,0,0
Paprica,10,2018-07-31,High cost,3,left,0,NA
Paprica,10,2018-07-31,High cost,4,right,0,0
Paprica,10,2018-07-31,High cost,5,left,0,0
Paprica,10,2018-07-31,High cost,6,left,0,0
Paprica,10,2018-07-31,High cost,7,right,0,0
Paprica,10,2018-07-31,High cost,8,right,0,0
Roberta,1,2018-07-16,High cost,3,left,1,NA
Roberta,1,2018-07-16,High cost,4,right,0,1
Roberta,1,2018-07-16,High cost,5,left,0,0
Roberta,1,2018-07-16,High cost,6,right,0,0
Roberta,1,2018-07-16,High cost,7,right,1,0
Roberta,1,2018-07-16,High cost,8,left,0,1
Roberta,1,2018-09-07,Low cost different,3,right,1,NA
Roberta,1,2018-09-07,Low cost different,4,left,0,1
Roberta,1,2018-09-07,Low cost different,5,left,0,0
Roberta,1,2018-09-07,Low cost different,6,left,1,0
Roberta,1,2018-09-07,Low cost different,7,right,1,1
Roberta,1,2018-09-07,Low cost different,8,right,0,1
Roberta,1,2018-10-26,Low cost same,3,right,1,NA
Roberta,1,2018-10-26,Low cost same,4,right,1,1
Roberta,1,2018-10-26,Low cost same,5,right,0,1
Roberta,1,2018-10-26,Low cost same,6,left,0,0
Roberta,1,2018-10-26,Low cost same,7,left,0,0
Roberta,1,2018-10-26,Low cost same,8,left,0,0
Roberta,2,2018-07-17,High cost,3,right,1,NA
Roberta,2,2018-07-17,High cost,4,left,0,1
Roberta,2,2018-07-17,High cost,5,right,1,0
Roberta,2,2018-07-17,High cost,6,right,0,1
Roberta,2,2018-07-17,High cost,7,left,0,0
Roberta,2,2018-07-17,High cost,8,left,0,0
Roberta,2,2018-09-10,Low cost different,3,right,0,NA
Roberta,2,2018-09-10,Low cost different,4,left,0,0
Roberta,2,2018-09-10,Low cost different,5,left,0,0
Roberta,2,2018-09-10,Low cost different,6,left,0,0
Roberta,2,2018-09-10,Low cost different,7,right,0,0
Roberta,2,2018-09-10,Low cost different,8,right,0,0
Roberta,2,2018-10-29,Low cost same,3,left,0,NA
Roberta,2,2018-10-29,Low cost same,4,left,0,0
Roberta,2,2018-10-29,Low cost same,5,right,0,0
Roberta,2,2018-10-29,Low cost same,6,right,1,0
Roberta,2,2018-10-29,Low cost same,7,right,0,1
