dataset,subject,age,gender,small,large,type,similarity,response_time,difference,ratio,mean_ratio,log_ratio,relative_diff,disparity,salience,discrim,logistic
1,1-11,26,Male,6,9,Amount,0,NA,3,0.6667,0.8,-0.4055,0.3333,0.4,0.2,1.0986,0.0474
1,1-11,26,Male,3,4,Amount,0,NA,1,0.75,0.8571,-0.2877,0.25,0.2857,0.1429,1.3863,0.2689
1,1-11,26,Male,3,5,Amount,0,NA,2,0.6,0.75,-0.5108,0.4,0.5,0.25,0.9163,0.1192
1,1-11,26,Male,3,6,Amount,0,NA,3,0.5,0.6667,-0.6931,0.5,0.6667,0.3333,0.6931,0.0474
1,1-11,26,Male,3,7,Amount,0,NA,4,0.4286,0.6,-0.8473,0.5714,0.8,0.4,0.5596,0.018
1,1-11,26,Male,3,8,Amount,0,NA,5,0.375,0.5455,-0.9808,0.625,0.9091,0.4545,0.47,0.0067
1,1-11,26,Male,3,9,Amount,0,NA,6,0.3333,0.5,-1.0986,0.6667,1,0.5,0.4055,0.0025
1,1-11,26,Male,3,10,Amount,0,NA,7,0.3,0.4615,-1.204,0.7,1.0769,0.5385,0.3567,9e-4
1,1-11,26,Male,3,11,Amount,0,NA,8,0.2727,0.4286,-1.2993,0.7273,1.1429,0.5714,0.3185,3e-4
1,1-11,26,Male,3,12,Amount,0,NA,9,0.25,0.4,-1.3863,0.75,1.2,0.6,0.2877,1e-4
1,1-11,26,Male,17,30,Delay,0,NA,13,0.5667,0.7234,-0.568,0.4333,0.5532,0.2766,0.8362,0
1,1-11,26,Male,15,31,Delay,0,NA,16,0.4839,0.6522,-0.7259,0.5161,0.6957,0.3478,0.6614,0
1,1-11,26,Male,22,53,Delay,0,NA,31,0.4151,0.5867,-0.8792,0.5849,0.8267,0.4133,0.5363,0
1,1-11,26,Male,17,18,Delay,1,NA,1,0.9444,0.9714,-0.0572,0.0556,0.0571,0.0286,2.8904,0.2689
1,1-11,26,Male,12,28,Delay,0,NA,16,0.4286,0.6,-0.8473,0.5714,0.8,0.4,0.5596,0
1,1-11,26,Male,18,40,Delay,0,NA,22,0.45,0.6207,-0.7985,0.55,0.7586,0.3793,0.5978,0
1,1-11,26,Male,23,48,Delay,0,NA,25,0.4792,0.6479,-0.7357,0.5208,0.7042,0.3521,0.6523,0
1,1-11,26,Male,15,16,Delay,1,NA,1,0.9375,0.9677,-0.0645,0.0625,0.0645,0.0323,2.7726,0.2689
1,1-11,26,Male,15,18,Delay,1,NA,3,0.8333,0.9091,-0.1823,0.1667,0.1818,0.0909,1.7918,0.0474
1,1-11,26,Male,15,20,Delay,0,NA,5,0.75,0.8571,-0.2877,0.25,0.2857,0.1429,1.3863,0.0067
1,1-11,26,Male,15,22,Delay,0,NA,7,0.6818,0.8108,-0.383,0.3182,0.3784,0.1892,1.1451,9e-4
1,1-11,26,Male,82,90,Delay,0,NA,8,0.9111,0.9535,-0.0931,0.0889,0.093,0.0465,2.4204,3e-4
1,1-11,26,Male,15,24,Delay,0,NA,9,0.625,0.7692,-0.47,0.375,0.4615,0.2308,0.9808,1e-4
1,1-11,26,Male,15,26,Delay,NA,NA,11,0.5769,0.7317,-0.55,0.4231,0.5366,0.2683,0.8602,0
1,1-11,26,Male,15,28,Delay,0,NA,13,0.5357,0.6977,-0.6242,0.4643,0.6047,0.3023,0.7673,0
1,1-11,26,Male,15,30,Delay,0,NA,15,0.5,0.6667,-0.6931,0.5,0.6667,0.3333,0.6931,0
1,1-11,26,Male,15,32,Delay,0,NA,17,0.4688,0.6383,-0.7577,0.5312,0.7234,0.3617,0.6325,0
1,1-11,26,Male,15,34,Delay,0,NA,19,0.4412,0.6122,-0.8183,0.5588,0.7755,0.3878,0.5819,0
1,1-11,26,Male,26,62,Delay,0,NA,36,0.4194,0.5909,-0.869,0.5806,0.8182,0.4091,0.5436,0
1,1-11,26,Male,62,66,Delay,1,NA,4,0.9394,0.9688,-0.0625,0.0606,0.0625,0.0312,2.8034,0.018
1,1-11,26,Male,15,27,Delay,0,NA,12,0.5556,0.7143,-0.5878,0.4444,0.5714,0.2857,0.8109,0
1,1-11,26,Male,17,30,Amount,0,NA,13,0.5667,0.7234,-0.568,0.4333,0.5532,0.2766,0.8362,0
1,1-11,26,Male,82,90,Amount,1,NA,8,0.9111,0.9535,-0.0931,0.0889,0.093,0.0465,2.4204,3e-4
