data_file,algorithm,subject,predictor,importance
amount_1,knn,1-22,ratio,100
amount_1,knn,1-22,log_ratio,100
amount_1,knn,1-22,discrim,100
amount_1,knn,1-22,logistic,86.63967611336034
amount_1,rf,1-22,small,0
amount_1,rf,1-22,large,12.965416989199607
amount_1,rf,1-22,difference,51.3306443067527
amount_1,rf,1-22,ratio,97.23591950136024
amount_1,rf,1-22,log_ratio,90.05893092752675
amount_1,rf,1-22,discrim,100
amount_1,rf,1-22,logistic,46.27721754219187
amount_1,glm,1-22,small,100
amount_1,glm,1-22,large,31.974607619718732
amount_1,glm,1-22,ratio,8.735650448963495
amount_1,glm,1-22,log_ratio,0
amount_1,glm,1-22,discrim,30.850836195416377
amount_1,glm,1-22,logistic,0.8295225590437337
amount_1,nnet,1-22,small,51.55041215287669
amount_1,nnet,1-22,large,19.242185948466954
amount_1,nnet,1-22,difference,95.06194620425589
amount_1,nnet,1-22,ratio,41.80064559618464
amount_1,nnet,1-22,log_ratio,11.8854456074941
amount_1,nnet,1-22,discrim,100
amount_1,nnet,1-22,logistic,0
amount_1,rpart,1-23,difference,38.771783983955594
amount_1,rpart,1-23,discrim,100
amount_1,rpart,1-23,log_ratio,100
amount_1,rpart,1-23,logistic,38.771783983955594
amount_1,rpart,1-23,ratio,100
amount_1,rpart,1-23,small,0
amount_1,rpart,1-23,large,0
amount_1,c5.0,1-23,small,100
amount_1,c5.0,1-23,ratio,100
amount_1,c5.0,1-23,logistic,100
amount_1,c5.0,1-23,difference,94
amount_1,c5.0,1-23,large,0
amount_1,c5.0,1-23,log_ratio,0
amount_1,c5.0,1-23,discrim,0
amount_1,naive_bayes,1-23,small,8.144796380090497
amount_1,naive_bayes,1-23,large,0
amount_1,naive_bayes,1-23,difference,77.60180995475115
amount_1,naive_bayes,1-23,ratio,100
amount_1,naive_bayes,1-23,log_ratio,100
amount_1,naive_bayes,1-23,discrim,100
amount_1,naive_bayes,1-23,logistic,77.60180995475115
amount_1,knn,1-23,small,8.144796380090497
amount_1,knn,1-23,large,0
amount_1,knn,1-23,difference,77.60180995475115
amount_1,knn,1-23,ratio,100
amount_1,knn,1-23,log_ratio,100
amount_1,knn,1-23,discrim,100
amount_1,knn,1-23,logistic,77.60180995475115
amount_1,rf,1-23,small,9.927559402087775
amount_1,rf,1-23,large,0
amount_1,rf,1-23,difference,15.517165643961247
amount_1,rf,1-23,ratio,100
amount_1,rf,1-23,log_ratio,85.25734579805943
amount_1,rf,1-23,discrim,96.4549351643173
amount_1,rf,1-23,logistic,10.574060781235467
amount_1,glm,1-23,small,25.16922582036506
amount_1,glm,1-23,large,1.2467863736694156
amount_1,glm,1-23,ratio,0
amount_1,glm,1-23,log_ratio,44.16332835018388
amount_1,glm,1-23,discrim,88.34454677745346
amount_1,glm,1-23,logistic,100
amount_1,nnet,1-23,small,62.0150569666571
amount_1,nnet,1-23,large,17.27308602318479
amount_1,nnet,1-23,difference,100
amount_1,nnet,1-23,ratio,7.567431717917855
amount_1,nnet,1-23,log_ratio,0
amount_1,nnet,1-23,discrim,60.16700632673108
amount_1,nnet,1-23,logistic,15.398429149779364
amount_1,rpart,1-24,difference,100
amount_1,rpart,1-24,discrim,81.50829739864372
amount_1,rpart,1-24,large,11.529604979029589
amount_1,rpart,1-24,log_ratio,81.50829739864372
amount_1,rpart,1-24,logistic,100
amount_1,rpart,1-24,ratio,86.81940163369799
amount_1,rpart,1-24,small,0
amount_1,c5.0,1-24,large,100
amount_1,c5.0,1-24,difference,100
amount_1,c5.0,1-24,ratio,100
amount_1,c5.0,1-24,logistic,100
amount_1,c5.0,1-24,log_ratio,80
amount_1,c5.0,1-24,small,0
amount_1,c5.0,1-24,discrim,0
amount_1,naive_bayes,1-24,small,0
amount_1,naive_bayes,1-24,large,46.12326043737576
amount_1,naive_bayes,1-24,difference,100
amount_1,naive_bayes,1-24,ratio,96.81908548707754
amount_1,naive_bayes,1-24,log_ratio,96.81908548707754
amount_1,naive_bayes,1-24,discrim,96.81908548707754
amount_1,naive_bayes,1-24,logistic,100
amount_1,knn,1-24,small,0
amount_1,knn,1-24,large,46.12326043737576
amount_1,knn,1-24,difference,100
amount_1,knn,1-24,ratio,96.81908548707754
amount_1,knn,1-24,log_ratio,96.81908548707754
amount_1,knn,1-24,discrim,96.81908548707754
amount_1,knn,1-24,logistic,100
amount_1,rf,1-24,small,0
amount_1,rf,1-24,large,81.79821339246584
amount_1,rf,1-24,difference,100
amount_1,rf,1-24,ratio,77.91928202109602
amount_1,rf,1-24,log_ratio,83.79473648165856
amount_1,rf,1-24,discrim,90.59448688578205
amount_1,rf,1-24,logistic,93.13220721356116
amount_1,glm,1-24,small,59.774096815469576
amount_1,glm,1-24,large,55.97420136183767
amount_1,glm,1-24,ratio,94.46257973450338
amount_1,glm,1-24,log_ratio,100
amount_1,glm,1-24,discrim,0
amount_1,glm,1-24,logistic,73.38076719110462
amount_1,nnet,1-24,small,71.22419876522919
amount_1,nnet,1-24,large,82.29341611886706
amount_1,nnet,1-24,difference,100
amount_1,nnet,1-24,ratio,15.461375410214762
amount_1,nnet,1-24,log_ratio,9.372189002461855
amount_1,nnet,1-24,discrim,47.50494360583838
amount_1,nnet,1-24,logistic,0
amount_1,rpart,1-25,difference,42.253315556294844
amount_1,rpart,1-25,discrim,100
amount_1,rpart,1-25,log_ratio,100
amount_1,rpart,1-25,logistic,42.253315556294844
amount_1,rpart,1-25,ratio,100
amount_1,rpart,1-25,small,0
amount_1,rpart,1-25,large,0
amount_1,c5.0,1-25,difference,100
amount_1,c5.0,1-25,ratio,100
amount_1,c5.0,1-25,logistic,100
amount_1,c5.0,1-25,small,86
amount_1,c5.0,1-25,large,0
amount_1,c5.0,1-25,log_ratio,0
amount_1,c5.0,1-25,discrim,0
amount_1,naive_bayes,1-25,small,0
amount_1,naive_bayes,1-25,large,8.764940239043812
amount_1,naive_bayes,1-25,difference,78.68525896414343
amount_1,naive_bayes,1-25,ratio,100
